Ground state energy = 26531.92 cm^-1
Max intensity = 0.021630
Number    ΔE / cm^-1    convergence    amplitude    intensity    normalized    E / Hartree
   256       3364.93    0.00000e+00    0.0016968    0.0000029    0.00013311    1.362200828129259e-01
   257       3374.48    0.00000e+00    0.0042526    0.0000181    0.00083609    1.362635910505594e-01
   258       3375.05    0.00000e+00    0.0035440    0.0000126    0.00058067    1.362661661822244e-01
   264       3398.25    0.00000e+00    0.0013864    0.0000019    0.00008887    1.363718782889701e-01
   269       3426.08    0.00000e+00    0.0004868    0.0000002    0.00001096    1.364986771127851e-01
   270       3426.28    0.00000e+00    0.0009044    0.0000008    0.00003782    1.364996155606486e-01
   272       3429.30    0.00000e+00    0.0008370    0.0000007    0.00003239    1.365133499186967e-01
   275       3439.64    0.00000e+00    0.0019494    0.0000038    0.00017568    1.365604892345592e-01
   278       3445.71    0.00000e+00    0.0003563    0.0000001    0.00000587    1.365881468677126e-01
   279       3452.47    0.00000e+00    0.0019720    0.0000039    0.00017979    1.366189249400286e-01
   280       3455.73    0.00000e+00    0.0023452    0.0000055    0.00025426    1.366338038633285e-01
   281       3461.89    0.00000e+00    0.0249799    0.0006240    0.02884849    1.366618452612149e-01
   283       3465.26    0.00000e+00    0.0003588    0.0000001    0.00000595    1.366772170792405e-01
   284       3465.41    0.00000e+00    0.0016035    0.0000026    0.00011887    1.366778691649658e-01
   292       3488.01    0.00000e+00    0.0006228    0.0000004    0.00001793    1.367808575638188e-01
   293       3499.24    0.00000e+00    0.0043365    0.0000188    0.00086940    1.368320446656808e-01
   295       3506.53    0.00000e+00    0.0029460    0.0000087    0.00040124    1.368652614000388e-01
   296       3507.21    0.00000e+00    0.0003729    0.0000001    0.00000643    1.368683573161842e-01
   297       3514.76    0.00000e+00    0.0030519    0.0000093    0.00043061    1.369027349575032e-01
   299       3523.61    0.00000e+00    0.0147520    0.0002176    0.01006101    1.369430887378791e-01
   300       3526.89    0.00000e+00    0.0008783    0.0000008    0.00003566    1.369580262389382e-01
   301       3527.20    0.00000e+00    0.0052415    0.0000275    0.00127014    1.369594238477741e-01
   303       3527.56    0.00000e+00    0.0104469    0.0001091    0.00504562    1.369610541535303e-01
   304       3527.88    0.00000e+00    0.0058659    0.0000344    0.00159076    1.369625134707504e-01
   305       3530.22    0.00000e+00    0.0066749    0.0000446    0.00205983    1.369731796473390e-01
   306       3534.31    0.00000e+00    0.0012122    0.0000015    0.00006793    1.369918460566714e-01
   307       3536.13    0.00000e+00    0.0131080    0.0001718    0.00794351    1.370001053853549e-01
   308       3537.86    0.00000e+00    0.0080362    0.0000646    0.00298569    1.370080115508252e-01
   310       3547.46    0.00000e+00    0.0152199    0.0002316    0.01070938    1.370517383613871e-01
   314       3562.85    0.00000e+00    0.0137182    0.0001882    0.00870028    1.371218713286814e-01
   315       3563.14    0.00000e+00    0.0080994    0.0000656    0.00303283    1.371231705021147e-01
   316       3563.62    0.00000e+00    0.0012143    0.0000015    0.00006817    1.371253874279624e-01
   317       3566.55    0.00000e+00    0.0003955    0.0000002    0.00000723    1.371387289162660e-01
   319       3577.59    0.00000e+00    0.0027682    0.0000077    0.00035428    1.371890131350351e-01
   320       3578.28    0.00000e+00    0.0004620    0.0000002    0.00000987    1.371921850809991e-01
   324       3593.71    0.00000e+00    0.0004490    0.0000002    0.00000932    1.372624812897994e-01
   325       3600.92    0.00000e+00    0.0012224    0.0000015    0.00006908    1.372953398127215e-01
   328       3604.32    0.00000e+00    0.0007918    0.0000006    0.00002899    1.373108015394756e-01
   329       3612.04    0.00000e+00    0.0017969    0.0000032    0.00014927    1.373459825974107e-01
   331       3623.61    0.00000e+00    0.0003906    0.0000002    0.00000705    1.373987108932692e-01
   332       3632.79    0.00000e+00    0.0022483    0.0000051    0.00023370    1.374405111106167e-01
   333       3633.08    0.00000e+00    0.0011746    0.0000014    0.00006379    1.374418407717353e-01
   334       3634.34    0.00000e+00    0.0392400    0.0015398    0.07118699    1.374475766448416e-01
   335       3637.46    0.00000e+00    0.0007115    0.0000005    0.00002340    1.374617909962241e-01
   336       3639.96    0.00000e+00    0.0034299    0.0000118    0.00054390    1.374732179681991e-01
   337       3643.37    0.00000e+00    0.0017640    0.0000031    0.00014386    1.374887466734985e-01
   338       3645.81    0.00000e+00    0.0004680    0.0000002    0.00001013    1.374998535627990e-01
   341       3652.38    0.00000e+00    0.0005392    0.0000003    0.00001344    1.375297988229859e-01
   343       3655.07    0.00000e+00    0.0029639    0.0000088    0.00040615    1.375420317154124e-01
   345       3667.67    0.00000e+00    0.0304074    0.0009246    0.04274634    1.375994585813264e-01
   346       3669.08    0.00000e+00    0.0010836    0.0000012    0.00005429    1.376058732142919e-01
   347       3670.52    0.00000e+00    0.0049328    0.0000243    0.00112494    1.376124261959852e-01
   349       3677.60    0.00000e+00    0.0019392    0.0000038    0.00017385    1.376446990547171e-01
   350       3678.75    0.00000e+00    0.0087804    0.0000771    0.00356424    1.376499407060045e-01
   351       3682.37    0.00000e+00    0.0179085    0.0003207    0.01482729    1.376664378586433e-01
   352       3683.11    0.00000e+00    0.0019956    0.0000040    0.00018411    1.376697887405123e-01
   353       3683.15    0.00000e+00    0.0006238    0.0000004    0.00001799    1.376699999318229e-01
   354       3688.92    0.00000e+00    0.0003504    0.0000001    0.00000568    1.376962764514520e-01
   356       3691.99    0.00000e+00    0.0007387    0.0000005    0.00002523    1.377102816921405e-01
   357       3693.81    0.00000e+00    0.0049179    0.0000242    0.00111816    1.377185536504735e-01
   358       3702.44    0.00000e+00    0.0071795    0.0000515    0.00238301    1.377578985779685e-01
   359       3703.85    0.00000e+00    0.0070885    0.0000502    0.00232302    1.377643121293479e-01
   360       3705.25    0.00000e+00    0.0003957    0.0000002    0.00000724    1.377706723403205e-01
   361       3705.83    0.00000e+00    0.0024210    0.0000059    0.00027098    1.377733097231886e-01
   362       3707.87    0.00000e+00    0.0069024    0.0000476    0.00220263    1.377826082580473e-01
   366       3716.81    0.00000e+00    0.0008506    0.0000007    0.00003345    1.378233571291483e-01
   367       3716.98    0.00000e+00    0.0003939    0.0000002    0.00000717    1.378241394624162e-01
   368       3718.13    0.00000e+00    0.0011936    0.0000014    0.00006587    1.378293537738917e-01
   370       3726.61    0.00000e+00    0.0007313    0.0000005    0.00002472    1.378680059360078e-01
   371       3727.24    0.00000e+00    0.0035588    0.0000127    0.00058552    1.378708969234188e-01
   372       3731.73    0.00000e+00    0.0009734    0.0000009    0.00004381    1.378913492448025e-01
   374       3740.66    0.00000e+00    0.0007967    0.0000006    0.00002934    1.379320255248503e-01
   375       3741.60    0.00000e+00    0.0010516    0.0000011    0.00005112    1.379362952010898e-01
   376       3744.44    0.00000e+00    0.0003288    0.0000001    0.00000500    1.379492678020939e-01
   377       3749.21    0.00000e+00    0.0030649    0.0000094    0.00043429    1.379709784684755e-01
   379       3758.04    0.00000e+00    0.0072090    0.0000520    0.00240266    1.380112247178965e-01
   380       3762.13    0.00000e+00    0.0004206    0.0000002    0.00000818    1.380298581011075e-01
   381       3762.95    0.00000e+00    0.0008336    0.0000007    0.00003213    1.380335679448290e-01
   382       3764.23    0.00000e+00    0.0063390    0.0000402    0.00185774    1.380394108910618e-01
   383       3765.64    0.00000e+00    0.0032268    0.0000104    0.00048137    1.380458574894655e-01
   384       3768.57    0.00000e+00    0.0007064    0.0000005    0.00002307    1.380591989240264e-01
   387       3782.21    0.00000e+00    0.0008679    0.0000008    0.00003482    1.381213379344156e-01
   388       3787.62    0.00000e+00    0.0094788    0.0000898    0.00415379    1.381459783438864e-01
   392       3804.06    0.00000e+00    0.0006338    0.0000004    0.00001857    1.382209099304684e-01
   393       3804.22    0.00000e+00    0.0044072    0.0000194    0.00089799    1.382216229101308e-01
   394       3806.31    0.00000e+00    0.0162456    0.0002639    0.01220156    1.382311603560880e-01
   395       3807.82    0.00000e+00    0.0008625    0.0000007    0.00003439    1.382380349363997e-01
   396       3808.21    0.00000e+00    0.0112411    0.0001264    0.00584199    1.382398096894527e-01
   397       3811.06    0.00000e+00    0.0007410    0.0000005    0.00002538    1.382527786382209e-01
   399       3819.83    0.00000e+00    0.0033270    0.0000111    0.00051173    1.382927670576347e-01
   400       3819.90    0.00000e+00    0.0016170    0.0000026    0.00012088    1.382930500158905e-01
   401       3821.65    0.00000e+00    0.0073874    0.0000546    0.00252302    1.383010216958478e-01
