Ground state energy = 26989.37 cm^-1
Max intensity = 0.003227
Number    ΔE / cm^-1    convergence    amplitude    intensity    normalized intensity
  1002       3428.85       0.000000     0.001660     0.000003     0.000854
  1003       3429.82       0.000000     0.001680     0.000003     0.000875
  1004       3432.13       0.000000     0.001141     0.000001     0.000404
  1005       3435.60       0.000000     0.011413     0.000130     0.040361
  1006       3436.55       0.000000     0.006372     0.000041     0.012581
  1007       3438.76       0.000000     0.006597     0.000044     0.013484
  1008       3441.10       0.000000     0.005405     0.000029     0.009054
  1009       3443.82       0.000000     0.001561     0.000002     0.000755
  1010       3446.27       0.000000     0.007651     0.000059     0.018140
  1011       3447.05       0.000000     0.013122     0.000172     0.053354
  1012       3448.79       0.000000     0.001142     0.000001     0.000404
  1013       3451.97       0.000000     0.001153     0.000001     0.000412
  1017       3463.65       0.000000     0.001087     0.000001     0.000366
  1019       3467.53       0.000000     0.015863     0.000252     0.077974
  1020       3469.85       0.000000     0.011858     0.000141     0.043567
  1021       3471.11       0.000000     0.008359     0.000070     0.021652
  1022       3472.70       0.000000     0.002216     0.000005     0.001521
  1023       3474.32       0.000000     0.002758     0.000008     0.002358
  1024       3478.83       0.000000     0.006375     0.000041     0.012593
  1025       3480.24       0.000000     0.001042     0.000001     0.000336
  1026       3482.61       0.000000     0.002635     0.000007     0.002151
  1028       3488.02       0.000000     0.005137     0.000026     0.008177
  1029       3490.01       0.000000     0.002793     0.000008     0.002417
  1030       3491.91       0.000000     0.002180     0.000005     0.001472
  1031       3494.44       0.000000     0.001658     0.000003     0.000852
  1032       3496.40       0.000000     0.010669     0.000114     0.035271
  1033       3499.69       0.000000     0.004550     0.000021     0.006415
  1034       3501.69       0.000000     0.001413     0.000002     0.000619
  1035       3505.65       0.000000     0.004153     0.000017     0.005345
  1036       3506.85       0.000000     0.005913     0.000035     0.010835
  1037       3508.08       0.000000     0.002136     0.000005     0.001414
  1038       3511.05       0.000000     0.004050     0.000016     0.005083
  1039       3512.01       0.000000     0.002846     0.000008     0.002510
  1040       3516.09       0.000000     0.001815     0.000003     0.001021
  1041       3517.57       0.000000     0.006714     0.000045     0.013966
  1042       3519.78       0.000000     0.001315     0.000002     0.000536
  1043       3522.93       0.000000     0.002662     0.000007     0.002196
  1044       3524.70       0.000000     0.006965     0.000049     0.015030
  1045       3528.25       0.000000     0.007606     0.000058     0.017925
  1046       3529.01       0.000000     0.006373     0.000041     0.012586
  1047       3530.92       0.000000     0.004306     0.000019     0.005746
  1048       3533.39       0.000000     0.004216     0.000018     0.005506
  1049       3536.38       0.000000     0.001187     0.000001     0.000436
  1050       3538.31       0.000000     0.003108     0.000010     0.002994
  1051       3541.07       0.000000     0.003760     0.000014     0.004382
  1052       3543.25       0.000000     0.001360     0.000002     0.000573
  1053       3545.53       0.000000     0.002096     0.000004     0.001362
  1054       3548.44       0.000000     0.003779     0.000014     0.004426
  1055       3550.47       0.000000     0.006367     0.000041     0.012560
