time-step,nac01,nac02,nac03,nac12,nac13,nac23,energy0,energy1,energy2,energy3
185,0.621053,1.26662,0.182575,4.56843,1.92454,0.872277,0.0883326,0.240874,0.260631,0.318843
186,0.588388,1.3447,0.209497,2.46064,2.19906,0.552446,0.084005,0.233167,0.26081,0.318547
187,0.596809,1.30315,0.242446,1.18855,2.22764,0.364177,0.0884291,0.231486,0.272125,0.329172
188,0.580058,1.13522,0.25744,0.686779,1.98946,0.335145,0.100753,0.237848,0.293374,0.351411
189,0.518303,0.913653,0.261818,0.483104,1.42409,0.349398,0.108968,0.242572,0.310139,0.368978
190,0.444917,0.734773,0.261139,0.373404,0.703197,0.350723,0.105381,0.23821,0.310719,0.370803
191,0.411592,0.600455,0.256672,0.331795,0.728521,0.321905,0.0954205,0.229276,0.29813,0.360928
192,0.420249,0.428013,0.24742,0.359921,1.07005,0.293359,0.0886626,0.224954,0.286445,0.351334
193,0.440536,0.312027,0.222509,0.40637,1.22233,0.282158,0.0884563,0.227065,0.283922,0.347895
194,0.436444,0.301759,0.182027,0.397696,1.25403,0.262484,0.0904451,0.229882,0.285717,0.345297
195,0.382022,0.409069,0.141956,0.333724,1.19728,0.245361,0.0871921,0.227659,0.283118,0.335621
196,0.296434,0.687842,0.118513,0.26554,0.995267,0.253496,0.0771893,0.221,0.273122,0.320019
197,0.220646,1.14174,0.112637,0.244586,1.11427,0.300398,0.0672474,0.216215,0.260982,0.304523
198,0.183771,1.53222,0.111765,0.267725,1.50913,0.357106,0.0633617,0.215258,0.252637,0.292579
199,0.183837,1.67225,0.110706,0.29946,1.7202,0.386675,0.0649012,0.21559,0.249465,0.287802
200,0.206207,1.60488,0.119602,0.369203,1.75998,0.399368,0.0689193,0.217358,0.250125,0.288632
201,0.232004,1.42478,0.136101,0.501205,1.81266,0.396031,0.0711997,0.219889,0.25071,0.290414
202,0.249284,1.23335,0.162024,0.685882,1.88312,0.398093,0.0677995,0.218921,0.246344,0.288272
203,0.267329,1.091,0.211154,0.88522,1.72283,0.407428,0.0602056,0.212791,0.237693,0.283316
204,0.297412,1.01101,0.255773,1.00173,1.22035,0.367153,0.0563192,0.207917,0.232811,0.28476
205,0.353048,0.976331,0.279965,1.02465,1.00841,0.303444,0.0637919,0.212902,0.23976,0.300138
206,0.44755,0.958717,0.281802,1.04042,1.06024,0.259994,0.0828291,0.228403,0.258383,0.327282
207,0.55456,0.983765,0.275796,1.02322,1.07636,0.265597,0.102459,0.243721,0.277599,0.351658
208,0.61473,1.03403,0.233746,0.911613,1.12361,0.293829,0.10868,0.246397,0.284622,0.357735
209,0.670205,1.05022,0.218953,0.799638,1.18374,0.325876,0.103665,0.240493,0.281456,0.348993
210,0.703117,1.02536,0.198556,0.767646,1.08034,0.356338,0.0993321,0.23843,0.278297,0.340141
211,0.71968,1.03409,0.195964,0.777645,0.770328,0.334242,0.0989216,0.240386,0.277198,0.335986
212,0.728368,1.09551,0.235379,0.7809,1.03569,0.294834,0.0978042,0.239849,0.274209,0.33191
213,0.715403,1.20086,0.293812,0.778463,1.65576,0.295593,0.092846,0.235504,0.267529,0.324781
214,0.64581,1.32179,0.324354,0.803934,1.92893,0.288984,0.0840718,0.230181,0.257726,0.315461
215,0.515062,1.40813,0.307329,0.914141,1.91305,0.261532,0.0702782,0.222462,0.243169,0.302674
